category,businesses,food_businesses,food_share,is_food_related
Gastroenterologist,39,0,0.000000,0
Hospice,39,0,0.000000,0
Marinas,39,4,0.102564,0
Roof Inspectors,39,0,0.000000,0
Sugaring,39,0,0.000000,0
& Probates,38,0,0.000000,0
Check Cashing/Pay-day Loans,38,2,0.052632,0
Excavation Services,38,0,0.000000,0
Fire Protection Services,38,0,0.000000,0
Go Karts,38,2,0.052632,0
Henna Artists,38,0,0.000000,0
Livestock Feed & Supply,38,4,0.105263,0
Mobile Dent Repair,38,0,0.000000,0
Osteopathic Physicians,38,1,0.026316,0
Pet Transportation,38,0,0.000000,0
Teppanyaki,38,38,1.000000,1
Trusts,38,0,0.000000,0
Wills,38,0,0.000000,0
Boudoir Photography,37,0,0.000000,0
Clothing Rental,37,1,0.027027,0
Cryotherapy,37,0,0.000000,0
Estate Liquidation,37,0,0.000000,0
Olive Oil,37,37,1.000000,1
Paint-Your-Own Pottery,37,1,0.027027,0
Pet Cremation Services,37,0,0.000000,0
Pet Hospice,37,0,0.000000,0
Trailer Dealers,37,0,0.000000,0
Travel Agents,37,1,0.027027,0
Arabic,36,36,1.000000,1
Archery,36,0,0.000000,0
Audiologist,36,0,0.000000,0
Mongolian,36,36,1.000000,1
Race Tracks,36,3,0.083333,0
Recording & Rehearsal Studios,36,2,0.055556,0
Train Stations,36,1,0.027778,0
Wedding Chapels,36,2,0.055556,0
Awnings,35,0,0.000000,0
Career Counseling,35,0,0.000000,0
Dinner Theater,35,35,1.000000,1
Engraving,35,0,0.000000,0
Police Departments,35,0,0.000000,0
Rock Climbing,35,0,0.000000,0
Shoe Shine,35,0,0.000000,0
Workers Compensation Law,35,0,0.000000,0
Argentine,34,34,1.000000,1
Dumpster Rental,34,0,0.000000,0
Jet Skis,34,0,0.000000,0
Scuba Diving,34,0,0.000000,0
Strip Clubs,34,4,0.117647,0
Bistros,33,33,1.000000,1
Health Coach,33,4,0.121212,0
Paintball,33,0,0.000000,0
Portuguese,33,33,1.000000,1
Prenatal/Perinatal Care,33,0,0.000000,0
Psychologists,33,1,0.030303,0
Test Preparation,33,0,0.000000,0
Balloon Services,32,0,0.000000,0
Bike tours,32,2,0.062500,0
Community Centers,32,1,0.031250,0
Ethnic Grocery,32,32,1.000000,1
Real Estate Photography,32,0,0.000000,0
Soccer,32,2,0.062500,0
Spine Surgeons,32,0,0.000000,0
Urologists,32,1,0.031250,0
Commercial Truck Dealers,31,1,0.032258,0
Doulas,31,0,0.000000,0
Gemstones & Minerals,31,2,0.064516,0
Knife Sharpening,31,5,0.161290,0
Pop-up Shops,31,16,0.516129,0
Television Stations,31,0,0.000000,0
Wine Tasting Classes,31,27,0.870968,1
Delicatessen,30,30,1.000000,1
Lakes,30,0,0.000000,0
Malaysian,30,30,1.000000,1
Self-defense Classes,30,0,0.000000,0
Speakeasies,30,15,0.500000,0
Surfing,30,0,0.000000,0
Cremation Services,29,0,0.000000,0
Mobility Equipment Sales & Services,29,0,0.000000,0
Personal Assistants,29,2,0.068966,0
Pole Dancing Classes,29,0,0.000000,0
Pumpkin Patches,29,13,0.448276,0
Ticket Sales,29,5,0.172414,0
Water Delivery,29,16,0.551724,0
Airport Lounges,28,6,0.214286,0
Bookkeepers,28,1,0.035714,0
Eatertainment,28,17,0.607143,0
Horse Boarding,28,1,0.035714,0
Kitchen Supplies,28,8,0.285714,0
Psychic Mediums,28,0,0.000000,0
Skate Parks,28,2,0.071429,0
Themed Cafes,28,28,1.000000,1
Trailer Rental,28,0,0.000000,0
Champagne Bars,27,16,0.592593,0
Condominiums,27,0,0.000000,0
CPR Classes,27,0,0.000000,0
Fondue,27,27,1.000000,1
Gunsmith,27,0,0.000000,0
Hearing Aid Providers,27,0,0.000000,0
High Fidelity Audio Equipment,27,0,0.000000,0
Lactation Services,27,0,0.000000,0
Bar Crawl,26,11,0.423077,0
Cabaret,26,8,0.307692,0
Machine & Tool Rental,26,0,0.000000,0
Magicians,26,0,0.000000,0
Medical Transportation,26,0,0.000000,0
Pick Your Own Farms,26,22,0.846154,1
Poutineries,26,26,1.000000,1
Surf Shop,26,1,0.038462,0
Attraction Farms,25,8,0.320000,0
Batting Cages,25,2,0.080000,0
Cideries,25,25,1.000000,1
Clock Repair,25,0,0.000000,0
Endocrinologists,25,0,0.000000,0
Health Retreats,25,1,0.040000,0
Medical Cannabis Referrals,25,1,0.040000,0
Restaurant Supplies,25,12,0.480000,0
Virtual Reality Centers,25,2,0.080000,0
Architects,24,1,0.041667,0
Artificial Turf,24,0,0.000000,0
Belgian,24,24,1.000000,1
Face Painting,24,1,0.041667,0
Honduran,24,24,1.000000,1
Karate,24,0,0.000000,0
Reproductive Health Services,24,0,0.000000,0
Shredding Services,24,1,0.041667,0
Water Parks,24,0,0.000000,0
Addiction Medicine,23,0,0.000000,0
Bird Shops,23,0,0.000000,0
Childbirth Education,23,0,0.000000,0
Halotherapy,23,0,0.000000,0
Indonesian,23,23,1.000000,1
Medical Law,23,0,0.000000,0
Outdoor Power Equipment Services,23,0,0.000000,0
Personal Care Services,23,0,0.000000,0
Public Markets,23,20,0.869565,1
Religious Items,23,2,0.086957,0
Trophy Shops,23,0,0.000000,0
Disc Golf,22,1,0.045455,0
Nurse Practitioner,22,0,0.000000,0
Oncologist,22,0,0.000000,0
Pet Photography,22,1,0.045455,0
Races & Competitions,22,0,0.000000,0
Shaved Snow,22,22,1.000000,1
Structural Engineers,22,0,0.000000,0
Basketball Courts,21,0,0.000000,0
Dietitians,21,5,0.238095,0
Himalayan/Nepalese,21,21,1.000000,1
House Sitters,21,0,0.000000,0
Memory Care,21,0,0.000000,0
Airport Terminals,20,2,0.100000,0
Children's Museums,20,0,0.000000,0
Colonics,20,2,0.100000,0
Haitian,20,20,1.000000,1
Massage Schools,20,0,0.000000,0
Muay Thai,20,0,0.000000,0
Nanny Services,20,0,0.000000,0
Public Art,20,1,0.050000,0
Pulmonologist,20,0,0.000000,0
Tai Chi,20,0,0.000000,0
Well Drilling,20,1,0.050000,0
Aerial Fitness,19,0,0.000000,0
Car Share Services,19,1,0.052632,0
Courthouses,19,2,0.105263,0
Fingerprinting,19,0,0.000000,0
Health Insurance Offices,19,0,0.000000,0
Immigration Law,19,0,0.000000,0
Motorsport Vehicle Repairs,19,0,0.000000,0
Music Production Services,19,2,0.105263,0
Powder Coating,19,0,0.000000,0
Speech Therapists,19,0,0.000000,0
Title Loans,19,0,0.000000,0
Art Tours,18,3,0.166667,0
Burmese,18,18,1.000000,1
Cambodian,18,18,1.000000,1
Flight Instruction,18,1,0.055556,0
Honey,18,18,1.000000,1
Motorcycle Rental,18,0,0.000000,0
Party Bike Rentals,18,0,0.000000,0
Safe Stores,18,0,0.000000,0
Ukrainian,18,18,1.000000,1
Valet Services,18,0,0.000000,0
Concierge Medicine,17,1,0.058824,0
Shanghainese,17,17,1.000000,1
Skydiving,17,0,0.000000,0
Talent Agencies,17,0,0.000000,0
Trinidadian,17,17,1.000000,1
Vacation Rental Agents,17,0,0.000000,0
Wallpapering,17,0,0.000000,0
Architectural Tours,16,0,0.000000,0
Dive Shops,16,0,0.000000,0
Egyptian,16,16,1.000000,1
Holistic Animal Care,16,0,0.000000,0
Hydrotherapy,16,0,0.000000,0
Izakaya,16,16,1.000000,1
Lice Services,16,0,0.000000,0
Passport & Visa Services,16,0,0.000000,0
Sicilian,16,16,1.000000,1
Ultrasound Imaging Centers,16,0,0.000000,0
Armenian,15,15,1.000000,1
Bounce House Rentals,15,1,0.066667,0
Crane Services,15,1,0.066667,0
Emergency Medicine,15,0,0.000000,0
Holiday Decorating Services,15,0,0.000000,0
Installment Loans,15,0,0.000000,0
Parenting Classes,15,0,0.000000,0
Pet Breeders,15,0,0.000000,0
Religious Schools,15,0,0.000000,0
Bangladeshi,14,14,1.000000,1
Baseball Fields,14,0,0.000000,0
Car Brokers,14,0,0.000000,0
Dance Wear,14,0,0.000000,0
Debt Relief Services,14,0,0.000000,0
Editorial Services,14,0,0.000000,0
First Aid Classes,14,0,0.000000,0
Golf Equipment Shops,14,0,0.000000,0
Home Energy Auditors,14,0,0.000000,0
Pancakes,14,14,1.000000,1
Private Investigation,14,0,0.000000,0
Rolfing,14,1,0.071429,0
Snorkeling,14,0,0.000000,0
Software Development,14,0,0.000000,0
Solar Panel Cleaning,14,0,0.000000,0
Vascular Medicine,14,0,0.000000,0
Australian,13,13,1.000000,1
Business Financing,13,0,0.000000,0
Commissioned Artists,13,0,0.000000,0
Japanese Curry,13,13,1.000000,1
Matchmakers,13,0,0.000000,0
Montessori Schools,13,0,0.000000,0
Motorcycle Parts & Supplies,13,1,0.076923,0
Preventive Medicine,13,0,0.000000,0
Reptile Shops,13,0,0.000000,0
Rheumatologists,13,0,0.000000,0
Sailing,13,0,0.000000,0
Scooter Rentals,13,0,0.000000,0
Ski Resorts,13,2,0.153846,0
Tableware,13,3,0.230769,0
Taekwondo,13,0,0.000000,0
Aerial Tours,12,0,0.000000,0
Anesthesiologists,12,0,0.000000,0
ATV Rentals/Tours,12,0,0.000000,0
Audio/Visual Equipment Rental,12,1,0.083333,0
Beach Equipment Rentals,12,0,0.000000,0
Food Banks,12,4,0.333333,0
Homeowner Association,12,2,0.166667,0
Hot Air Balloons,12,0,0.000000,0
Mobile Home Parks,12,0,0.000000,0
Motorsport Vehicle Dealers,12,0,0.000000,0
Piano Stores,12,0,0.000000,0
Private Schools,12,0,0.000000,0
Qi Gong,12,0,0.000000,0
Safety Equipment,12,0,0.000000,0
Social Security Law,12,0,0.000000,0
Synagogues,12,0,0.000000,0
Tubing,12,0,0.000000,0
Water Stores,12,12,1.000000,0
Ziplining,12,0,0.000000,0
Car Auctions,11,0,0.000000,0
Country Dance Halls,11,3,0.272727,0
Diamond Buyers,11,0,0.000000,0
Hockey Equipment,11,0,0.000000,0
Home Developers,11,0,0.000000,0
Military Surplus,11,0,0.000000,0
Photography Classes,11,0,0.000000,0
Prosthetics,11,0,0.000000,0
Public Relations,11,0,0.000000,0
Scandinavian,11,11,1.000000,1
Tax Law,11,0,0.000000,0
Traffic Ticketing Law,11,0,0.000000,0
Trains,11,1,0.090909,0
Art Restoration,10,0,0.000000,0
Art Space Rentals,10,0,0.000000,0
Ayurveda,10,0,0.000000,0
Bail Bondsmen,10,0,0.000000,0
Bartending Schools,10,0,0.000000,0
Boat Parts & Supplies,10,0,0.000000,0
Clowns,10,0,0.000000,0
Drive-Thru Bars,10,5,0.500000,0
Glass Blowing,10,0,0.000000,0
Grill Services,10,2,0.200000,0
Horse Racing,10,1,0.100000,0
Hybrid Car Repair,10,0,0.000000,0
Iberian,10,10,1.000000,1
Junkyards,10,0,0.000000,0
Language Schools,10,0,0.000000,0
Machine Shops,10,0,0.000000,0
Opera & Ballet,10,0,0.000000,0
Pet Waste Removal,10,0,0.000000,0
Rest Stops,10,2,0.200000,0
Astrologers,9,0,0.000000,0
Digitizing Services,9,0,0.000000,0
EV Charging Stations,9,1,0.111111,0
Fireworks,9,1,0.111111,0
Hazardous Waste Disposal,9,0,0.000000,0
Hydroponics,9,2,0.222222,0
Mediators,9,0,0.000000,0
Parasailing,9,0,0.000000,0
Party Characters,9,3,0.333333,0
Pet Insurance,9,0,0.000000,0
Public Adjusters,9,0,0.000000,0
Scavenger Hunts,9,0,0.000000,0
Singaporean,9,9,1.000000,0
Syrian,9,9,1.000000,0
Teacher Supplies,9,0,0.000000,0
Translation Services,9,0,0.000000,0
Visitor Centers,9,2,0.222222,0
Airsoft,8,0,0.000000,0
Animal Physical Therapy,8,0,0.000000,0
Bookbinding,8,0,0.000000,0
Buddhist Temples,8,3,0.375000,0
Cannabis Collective,8,0,0.000000,0
Caricatures,8,0,0.000000,0
Coffeeshops,8,8,1.000000,0
Drive-In Theater,8,1,0.125000,0
Flowers,8,0,0.000000,0
Furniture Rental,8,0,0.000000,0
Golf Cart Rentals,8,1,0.125000,0
Horse Equipment Shops,8,0,0.000000,0
Mobile Home Dealers,8,0,0.000000,0
Petting Zoos,8,0,0.000000,0
Retina Specialists,8,0,0.000000,0
Scooter Tours,8,0,0.000000,0
Surf Schools,8,0,0.000000,0
Uzbek,8,8,1.000000,0
Backflow Services,7,0,0.000000,0
Behavior Analysts,7,0,0.000000,0
Contract Law,7,1,0.142857,0
Elder Care Planning,7,0,0.000000,0
Free Diving,7,0,0.000000,0
Golf Cart Dealers,7,0,0.000000,0
International,7,7,1.000000,0
LAN Centers,7,7,1.000000,0
Mobile Home Repair,7,0,0.000000,0
Observatories,7,0,0.000000,0
Oxygen Bars,7,0,0.000000,0
Planetarium,7,0,0.000000,0
Process Servers,7,0,0.000000,0
Ranches,7,0,0.000000,0
Sandblasting,7,0,0.000000,0
Taxidermy,7,1,0.142857,0
Traditional Clothing,7,1,0.142857,0
Tuscan,7,7,1.000000,0
Whale Watching Tours,7,0,0.000000,0
Bike Sharing,6,0,0.000000,0
Bus Rental,6,0,0.000000,0
Carpet Dyeing,6,0,0.000000,0
Czech,6,6,1.000000,0
Hong Kong Style Cafe,6,6,1.000000,0
Hungarian,6,6,1.000000,0
Indoor Landscaping,6,0,0.000000,0
Nicaraguan,6,6,1.000000,0
Placenta Encapsulations,6,0,0.000000,0
Senegalese,6,6,1.000000,0
Senior Centers,6,0,0.000000,0
South African,6,6,1.000000,0
Striptease Dancers,6,0,0.000000,0
3D Printing,5,0,0.000000,0
Austrian,5,5,1.000000,0
Bicycles,5,0,0.000000,0
Billing Services,5,1,0.200000,0
Club Crawl,5,2,0.400000,0
Coffee & Tea Supplies,5,5,1.000000,0
Drones,5,0,0.000000,0
Immunodermatologists,5,0,0.000000,0
Land Surveying,5,0,0.000000,0
Luggage Storage,5,0,0.000000,0
Meaderies,5,5,1.000000,0
Mortuary Services,5,0,0.000000,0
Neurotologists,5,0,0.000000,0
Private Jet Charter,5,0,0.000000,0
Scottish,5,5,1.000000,0
Spin Classes,5,0,0.000000,0
Traffic Schools,5,0,0.000000,0
Undersea/Hyperbaric Medicine,5,0,0.000000,0
Adoption Services,4,0,0.000000,0
Aircraft Repairs,4,0,0.000000,0
Apartment Agents,4,0,0.000000,0
Bingo Halls,4,0,0.000000,0
Biohazard Cleanup,4,0,0.000000,0
Bus Stations,4,0,0.000000,0
Chinese Martial Arts,4,1,0.250000,0
Currency Exchange,4,0,0.000000,0
Disability Law,4,0,0.000000,0
DIY Auto Shop,4,0,0.000000,0
Drama Schools,4,0,0.000000,0
Duplication Services,4,0,0.000000,0
Ethical Grocery,4,4,1.000000,0
Fur Clothing,4,0,0.000000,0
Georgian,4,4,1.000000,0
Gerontologists,4,0,0.000000,0
Hang Gliding,4,0,0.000000,0
Hindu Temples,4,1,0.250000,0
Pedicabs,4,1,0.250000,0
Phlebologists,4,0,0.000000,0
Portable Toilet Services,4,0,0.000000,0
Proctologists,4,0,0.000000,0
Product Design,4,0,0.000000,0
Racing Experience,4,0,0.000000,0
Sardinian,4,4,1.000000,0
Sex Therapists,4,0,0.000000,0
Sports Betting,4,2,0.500000,0
Tenant and Eviction Law,4,0,0.000000,0
Trivia Hosts,4,1,0.250000,0
Badminton,3,0,0.000000,0
Bike Repair,3,0,0.000000,0
Carousels,3,0,0.000000,0
Childproofing,3,0,0.000000,0
College Counseling,3,0,0.000000,0
Community Gardens,3,1,0.333333,0
Consumer Law,3,0,0.000000,0
Crisis Pregnancy Centers,3,0,0.000000,0
Elder Law,3,0,0.000000,0
Electricity Suppliers,3,0,0.000000,0
Elevator Services,3,0,0.000000,0
Embassy,3,0,0.000000,0
Ferries,3,0,0.000000,0
Flyboarding,3,0,0.000000,0
Game Truck Rental,3,0,0.000000,0
Ice Delivery,3,2,0.666667,0
IP & Internet Law,3,0,0.000000,0
Jails & Prisons,3,1,0.333333,0
Municipality,3,1,0.333333,0
Neuropathologists,3,0,0.000000,0
Nudist,3,0,0.000000,0
Nursing Schools,3,0,0.000000,0
Oriental,3,3,1.000000,0
Playsets,3,0,0.000000,0
Sheds & Outdoor Storage,3,0,0.000000,0
Skiing,3,0,0.000000,0
Squash,3,0,0.000000,0
Sri Lankan,3,3,1.000000,0
Supper Clubs,3,3,1.000000,0
Unofficial Yelp Events,3,2,0.666667,0
Art Consultants,2,0,0.000000,0
Art Installation,2,0,0.000000,0
Bicycle Paths,2,0,0.000000,0
Bike Shop,2,0,0.000000,0
Bocce Ball,2,2,1.000000,0
Calligraphy,2,0,0.000000,0
Cannabis Tours,2,1,0.500000,0
Cheerleading,2,0,0.000000,0
Cheese Tasting Classes,2,2,1.000000,0
Concept Shops,2,0,0.000000,0
Dumplings,2,2,1.000000,0
Eastern European,2,2,1.000000,0
Experiences,2,0,0.000000,0
Fire Departments,2,1,0.500000,0
General Festivals,2,0,0.000000,0
Hakka,2,2,1.000000,0
Homeless Shelters,2,0,0.000000,0
Hotel bar,2,1,0.500000,0
Infectious Disease Specialists,2,0,0.000000,0
Israeli,2,2,1.000000,0
Kitchen Incubators,2,2,1.000000,0
Kiteboarding,2,0,0.000000,0
Mosques,2,0,0.000000,0
Nephrologists,2,0,0.000000,0
Otologists,2,0,0.000000,0
Outdoor Movies,2,0,0.000000,0
Rodeo,2,0,0.000000,0
Sauna Installation & Repair,2,0,0.000000,0
Silent Disco,2,0,0.000000,0
Ski Schools,2,0,0.000000,0
Sledding,2,0,0.000000,0
Somali,2,2,1.000000,0
Sports Psychologists,2,0,0.000000,0
Veterans Organizations,2,0,0.000000,0
Vocal Coach,2,0,0.000000,0
Waldorf Schools,2,0,0.000000,0
Aircraft Dealers,1,0,0.000000,0
Animal Assisted Therapy,1,0,0.000000,0
Aviation Services,1,0,0.000000,0
Beach Bars,1,1,1.000000,0
Beer Hall,1,1,1.000000,0
Bike Parking,1,0,0.000000,0
Bubble Soccer,1,0,0.000000,0
Calabrian,1,1,1.000000,0
Ceremonial Clothing,1,0,0.000000,0
Circus Schools,1,0,0.000000,0
Conveyor Belt Sushi,1,1,1.000000,0
Cucina campana,1,1,1.000000,0
Dart Arenas,1,0,0.000000,0
Dialysis Clinics,1,0,0.000000,0
Donburi,1,1,1.000000,0
DUI Schools,1,0,0.000000,0
Faith-based Crisis Pregnancy Centers,1,0,0.000000,0
Fencing Clubs,1,0,0.000000,0
Foot Care,1,0,0.000000,0
Fuel Docks,1,0,0.000000,0
Fuzhou,1,1,1.000000,0
Guamanian,1,1,1.000000,0
Hainan,1,1,1.000000,0
Halfway Houses,1,0,0.000000,0
Hepatologists,1,0,0.000000,0
Hospitalists,1,0,0.000000,0
Housing Cooperatives,1,0,0.000000,0
Interlock Systems,1,0,0.000000,0
Karaoke Rental,1,0,0.000000,0
Kiosk,1,1,1.000000,0
Lahmacun,1,1,1.000000,0
Makerspaces,1,0,0.000000,0
Metal Detector Services,1,0,0.000000,0
Mohels,1,0,0.000000,0
Natural Gas Suppliers,1,0,0.000000,0
Osteopaths,1,1,1.000000,0
Paragliding,1,0,0.000000,0
Parent Cafes,1,1,1.000000,0
Parklets,1,0,0.000000,0
Patent Law,1,0,0.000000,0
Pathologists,1,0,0.000000,0
Pickleball,1,0,0.000000,0
Pita,1,1,1.000000,0
Props,1,0,0.000000,0
Roman,1,1,1.000000,0
Serbo Croatian,1,1,1.000000,0
Sperm Clinic,1,0,0.000000,0
Sport Equipment Hire,1,0,0.000000,0
Stonemasons,1,0,0.000000,0
Storefront Clinics,1,0,0.000000,0
Tonkatsu,1,1,1.000000,0
Town Hall,1,0,0.000000,0
Trade Fairs,1,0,0.000000,0
Vermouth Bars,1,0,0.000000,0
Water Suppliers,1,0,0.000000,0
Wildlife Hunting Ranges,1,0,0.000000,0
