field,present_in_sample,present_pct,type_counts,example,num_min,num_max,str_len_min,str_len_max
business_id,20000,1.0,str:20000,'XQfwVwDr-v0ZS3_CbbE5Xw',,,22,22
cool,20000,1.0,int:20000,0,0.0,44.0,,
date,20000,1.0,str:20000,'2018-07-07 22:09:11',,,19,19
funny,20000,1.0,int:20000,0,0.0,26.0,,
review_id,20000,1.0,str:20000,'KU_O5udG6zpxOg-VcAEodg',,,22,22
stars,20000,1.0,float:20000,3.0,1.0,5.0,,
text,20000,1.0,str:20000,"""If you decide to eat here, just be aware it is going to take about 2 hours from beginning to end. We have tried it mul…",,,18,4994
useful,20000,1.0,int:20000,0,0.0,91.0,,
user_id,20000,1.0,str:20000,'mh_-eMZ6K5RLWhZyISBhwA',,,22,22
